record_id,created_at,region,team,customer,product,category,quantity,unit_price,total,status,note
REC-000072,2025-03-13,제주,기획,고객 0072,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000073,2025-03-14,서울,운영,고객 0073,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000074,2025-03-15,부산,기획,고객 0074,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000075,2025-03-16,대전,운영,고객 0075,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000076,2025-03-17,인천,기획,고객 0076,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000077,2025-03-18,광주,운영,고객 0077,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
REC-000078,2025-03-19,대구,기획,고객 0078,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000079,2025-03-20,울산,운영,고객 0079,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000080,2025-03-21,세종,기획,고객 0080,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000081,2025-03-22,경기,운영,고객 0081,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000082,2025-03-23,강원,기획,고객 0082,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000083,2025-03-24,충북,운영,고객 0083,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000084,2025-03-25,제주,기획,고객 0084,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000085,2025-03-26,서울,운영,고객 0085,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000086,2025-03-27,부산,기획,고객 0086,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000087,2025-03-28,대전,운영,고객 0087,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000088,2025-03-29,인천,기획,고객 0088,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000089,2025-03-30,광주,운영,고객 0089,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000090,2025-03-31,대구,기획,고객 0090,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000091,2025-04-01,울산,운영,고객 0091,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000092,2025-04-02,세종,기획,고객 0092,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000093,2025-04-03,경기,운영,고객 0093,USB-C 허브,주변 기기,12,49000,588000,배송 완료,세금계산서 발행
REC-000094,2025-04-04,강원,기획,고객 0094,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000095,2025-04-05,충북,운영,고객 0095,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000096,2025-04-06,제주,기획,고객 0096,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000097,2025-04-07,서울,운영,고객 0097,모니터 암,사무 용품,20,99000,1980000,배송 준비,"우선 처리, 오전 출고"
REC-000098,2025-04-08,부산,기획,고객 0098,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000099,2025-04-09,대전,운영,고객 0099,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000100,2025-04-10,인천,기획,고객 0100,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000101,2025-04-11,광주,운영,고객 0101,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000102,2025-04-12,대구,기획,고객 0102,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000103,2025-04-13,울산,운영,고객 0103,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000104,2025-04-14,세종,기획,고객 0104,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000105,2025-04-15,경기,운영,고객 0105,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000106,2025-04-16,강원,기획,고객 0106,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000107,2025-04-17,충북,운영,고객 0107,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000108,2025-04-18,제주,기획,고객 0108,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000109,2025-04-19,서울,운영,고객 0109,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000110,2025-04-20,부산,기획,고객 0110,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000111,2025-04-21,대전,운영,고객 0111,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000112,2025-04-22,인천,기획,고객 0112,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000113,2025-04-23,광주,운영,고객 0113,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000114,2025-04-24,대구,기획,고객 0114,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000115,2025-04-25,울산,운영,고객 0115,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000116,2025-04-26,세종,기획,고객 0116,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000117,2025-04-27,경기,운영,고객 0117,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
REC-000118,2025-04-28,강원,기획,고객 0118,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000119,2025-04-29,충북,운영,고객 0119,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000120,2025-04-30,제주,기획,고객 0120,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000121,2025-05-01,서울,운영,고객 0121,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000122,2025-05-02,부산,기획,고객 0122,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000123,2025-05-03,대전,운영,고객 0123,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000124,2025-05-04,인천,기획,고객 0124,노트북 거치대,사무 용품,9,67000,603000,반품 검토,세금계산서 발행
REC-000125,2025-05-05,광주,운영,고객 0125,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000126,2025-05-06,대구,기획,고객 0126,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000127,2025-05-07,울산,운영,고객 0127,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000128,2025-05-08,세종,기획,고객 0128,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000129,2025-05-09,경기,운영,고객 0129,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000130,2025-05-10,강원,기획,고객 0130,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000131,2025-05-11,충북,운영,고객 0131,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000132,2025-05-12,제주,기획,고객 0132,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000133,2025-05-13,서울,운영,고객 0133,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000134,2025-05-14,부산,기획,고객 0134,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000135,2025-05-15,대전,운영,고객 0135,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000136,2025-05-16,인천,기획,고객 0136,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000137,2025-05-17,광주,운영,고객 0137,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
REC-000138,2025-05-18,대구,기획,고객 0138,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000139,2025-05-19,울산,운영,고객 0139,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000140,2025-05-20,세종,기획,고객 0140,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000141,2025-05-21,경기,운영,고객 0141,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000142,2025-05-22,강원,기획,고객 0142,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000143,2025-05-23,충북,운영,고객 0143,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000144,2025-05-24,제주,기획,고객 0144,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000145,2025-05-25,서울,운영,고객 0145,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000146,2025-05-26,부산,기획,고객 0146,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000147,2025-05-27,대전,운영,고객 0147,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000148,2025-05-28,인천,기획,고객 0148,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000149,2025-05-29,광주,운영,고객 0149,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000150,2025-05-30,대구,기획,고객 0150,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000151,2025-05-31,울산,운영,고객 0151,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000152,2025-06-01,세종,기획,고객 0152,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000153,2025-06-02,경기,운영,고객 0153,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000154,2025-06-03,강원,기획,고객 0154,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000155,2025-06-04,충북,운영,고객 0155,웹캠,영상 장치,6,118000,708000,결제 확인,세금계산서 발행
REC-000156,2025-06-05,제주,기획,고객 0156,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000157,2025-06-06,서울,운영,고객 0157,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
REC-000158,2025-06-07,부산,기획,고객 0158,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000159,2025-06-08,대전,운영,고객 0159,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000160,2025-06-09,인천,기획,고객 0160,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000161,2025-06-10,광주,운영,고객 0161,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000162,2025-06-11,대구,기획,고객 0162,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000163,2025-06-12,울산,운영,고객 0163,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000164,2025-06-13,세종,기획,고객 0164,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000165,2025-06-14,경기,운영,고객 0165,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000166,2025-06-15,강원,기획,고객 0166,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000167,2025-06-16,충북,운영,고객 0167,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000168,2025-06-17,제주,기획,고객 0168,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000169,2025-06-18,서울,운영,고객 0169,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000170,2025-06-19,부산,기획,고객 0170,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000171,2025-06-20,대전,운영,고객 0171,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000172,2025-06-21,인천,기획,고객 0172,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000173,2025-06-22,광주,운영,고객 0173,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000174,2025-06-23,대구,기획,고객 0174,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000175,2025-06-24,울산,운영,고객 0175,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000176,2025-06-25,세종,기획,고객 0176,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000177,2025-06-26,경기,운영,고객 0177,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
REC-000178,2025-06-27,강원,기획,고객 0178,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000179,2025-06-28,충북,운영,고객 0179,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000180,2025-06-29,제주,기획,고객 0180,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000181,2025-06-30,서울,운영,고객 0181,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000182,2025-07-01,부산,기획,고객 0182,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000183,2025-07-02,대전,운영,고객 0183,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000184,2025-07-03,인천,기획,고객 0184,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000185,2025-07-04,광주,운영,고객 0185,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000186,2025-07-05,대구,기획,고객 0186,기계식 키보드,입력 장치,3,149000,447000,처리 중,세금계산서 발행
REC-000187,2025-07-06,울산,운영,고객 0187,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000188,2025-07-07,세종,기획,고객 0188,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000189,2025-07-08,경기,운영,고객 0189,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000190,2025-07-09,강원,기획,고객 0190,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000191,2025-07-10,충북,운영,고객 0191,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000192,2025-07-11,제주,기획,고객 0192,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000193,2025-07-12,서울,운영,고객 0193,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000194,2025-07-13,부산,기획,고객 0194,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,"우선 처리, 오전 출고"
REC-000195,2025-07-14,대전,운영,고객 0195,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000196,2025-07-15,인천,기획,고객 0196,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000197,2025-07-16,광주,운영,고객 0197,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
REC-000198,2025-07-17,대구,기획,고객 0198,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000199,2025-07-18,울산,운영,고객 0199,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000200,2025-07-19,세종,기획,고객 0200,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000201,2025-07-20,경기,운영,고객 0201,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000202,2025-07-21,강원,기획,고객 0202,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000203,2025-07-22,충북,운영,고객 0203,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000204,2025-07-23,제주,기획,고객 0204,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000205,2025-07-24,서울,운영,고객 0205,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000206,2025-07-25,부산,기획,고객 0206,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000207,2025-07-26,대전,운영,고객 0207,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000208,2025-07-27,인천,기획,고객 0208,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000209,2025-07-28,광주,운영,고객 0209,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000210,2025-07-29,대구,기획,고객 0210,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000211,2025-07-30,울산,운영,고객 0211,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000212,2025-07-31,세종,기획,고객 0212,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000213,2025-08-01,경기,운영,고객 0213,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000214,2025-08-02,강원,기획,고객 0214,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000215,2025-08-03,충북,운영,고객 0215,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000216,2025-08-04,제주,기획,고객 0216,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000217,2025-08-05,서울,운영,고객 0217,모니터 암,사무 용품,20,99000,1980000,배송 준비,세금계산서 발행
REC-000218,2025-08-06,부산,기획,고객 0218,무선 마우스,입력 장치,7,59000,413000,배송 완료,정기 주문
REC-000219,2025-08-07,대전,운영,고객 0219,휴대용 SSD,저장 장치,14,179000,2506000,반품 검토,정기 주문
REC-000220,2025-08-08,인천,기획,고객 0220,헤드셋,음향 장치,1,129000,129000,결제 확인,정기 주문
REC-000221,2025-08-09,광주,운영,고객 0221,무선 키보드,입력 장치,8,89000,712000,처리 중,정기 주문
REC-000222,2025-08-10,대구,기획,고객 0222,27인치 모니터,디스플레이,15,329000,4935000,배송 준비,정기 주문
REC-000223,2025-08-11,울산,운영,고객 0223,USB-C 허브,주변 기기,2,49000,98000,배송 완료,정기 주문
REC-000224,2025-08-12,세종,기획,고객 0224,노트북 거치대,사무 용품,9,67000,603000,반품 검토,정기 주문
REC-000225,2025-08-13,경기,운영,고객 0225,웹캠,영상 장치,16,118000,1888000,결제 확인,정기 주문
REC-000226,2025-08-14,강원,기획,고객 0226,기계식 키보드,입력 장치,3,149000,447000,처리 중,정기 주문
REC-000227,2025-08-15,충북,운영,고객 0227,모니터 암,사무 용품,10,99000,990000,배송 준비,정기 주문
REC-000228,2025-08-16,제주,기획,고객 0228,무선 마우스,입력 장치,17,59000,1003000,배송 완료,정기 주문
REC-000229,2025-08-17,서울,운영,고객 0229,휴대용 SSD,저장 장치,4,179000,716000,반품 검토,정기 주문
REC-000230,2025-08-18,부산,기획,고객 0230,헤드셋,음향 장치,11,129000,1419000,결제 확인,정기 주문
REC-000231,2025-08-19,대전,운영,고객 0231,무선 키보드,입력 장치,18,89000,1602000,처리 중,정기 주문
REC-000232,2025-08-20,인천,기획,고객 0232,27인치 모니터,디스플레이,5,329000,1645000,배송 준비,정기 주문
REC-000233,2025-08-21,광주,운영,고객 0233,USB-C 허브,주변 기기,12,49000,588000,배송 완료,정기 주문
REC-000234,2025-08-22,대구,기획,고객 0234,노트북 거치대,사무 용품,19,67000,1273000,반품 검토,정기 주문
REC-000235,2025-08-23,울산,운영,고객 0235,웹캠,영상 장치,6,118000,708000,결제 확인,정기 주문
REC-000236,2025-08-24,세종,기획,고객 0236,기계식 키보드,입력 장치,13,149000,1937000,처리 중,정기 주문
REC-000237,2025-08-25,경기,운영,고객 0237,모니터 암,사무 용품,20,99000,1980000,배송 준비,정기 주문
